date,price,total_volume,market_cap,coin_name
2019-10-19,0.0331619497001121,10468297.714732803,362371856.7884573,crypto-com-chain
2019-10-20,0.0328611821416424,9916296.23314522,362787531.7446725,crypto-com-chain
2019-10-21,0.0335189859933111,11569583.423675498,367202620.9878312,crypto-com-chain
2019-10-22,0.0334843972174602,12023026.736124989,369453193.363476,crypto-com-chain
2019-10-23,0.0337289903464071,10972466.646330556,370943468.0558336,crypto-com-chain
2019-10-24,0.0315667436581692,13546769.643359534,349289435.834654,crypto-com-chain
2019-10-25,0.0314239720369371,7682304.4042401,348064586.48386127,crypto-com-chain
2019-10-26,0.0346227239020064,7436433.668995963,385593833.9415744,crypto-com-chain
2019-10-27,0.0363351338282423,9951213.387918552,404058998.0835458,crypto-com-chain
2019-10-28,0.0354895216065419,5236828.492592721,396542736.8548315,crypto-com-chain
2019-10-29,0.0357011590286925,7853397.398368168,399890656.9309597,crypto-com-chain
2019-10-30,0.0364932847306529,6130544.081508148,410180313.8425821,crypto-com-chain
2019-10-31,0.0359291226110309,9420518.420695497,404608436.5658943,crypto-com-chain
2019-11-01,0.0366515136925021,8894166.44020236,413927951.276714,crypto-com-chain
2019-11-02,0.0380189236151894,19043254.64319213,430013122.3507955,crypto-com-chain
2019-11-03,0.0372303201788122,15091436.076489387,422720163.0263448,crypto-com-chain
2019-11-04,0.0377793290934607,14335293.72051584,430256470.6511861,crypto-com-chain
2019-11-05,0.0374814160660703,23690228.286883134,427014306.3234957,crypto-com-chain
2019-11-06,0.0368837083624168,22093286.26888152,421215317.8739935,crypto-com-chain
2019-11-07,0.0361862947446023,22736128.81725901,414667292.4188666,crypto-com-chain
2019-11-08,0.037958937770733,30759957.644804075,435652548.3302812,crypto-com-chain
2019-11-09,0.0374760907390864,32511904.856687862,430455046.54199713,crypto-com-chain
2019-11-10,0.0351167309877434,16611314.903478231,405192266.0964412,crypto-com-chain
2019-11-11,0.0357652503813844,23660220.55266761,412148655.91873455,crypto-com-chain
2019-11-12,0.0349591857372323,19827259.298920427,405856699.4359549,crypto-com-chain
2019-11-13,0.0352602341676127,18565150.248401016,408078421.4629806,crypto-com-chain
2019-11-14,0.0348941753801509,17425050.796994057,404344966.1553553,crypto-com-chain
2019-11-15,0.0369418415020709,21144887.20139157,433738431.9995861,crypto-com-chain
2019-11-16,0.0356519497219606,35955989.8558742,419282593.38706553,crypto-com-chain
2019-11-17,0.0351410952754817,13870810.282521242,409645123.2486524,crypto-com-chain
2019-11-18,0.0360056468802624,15517220.194745034,423302550.52813554,crypto-com-chain
2019-11-19,0.0354682087932442,22125652.68670772,416462056.75072473,crypto-com-chain
2019-11-20,0.0335329874562418,16035593.65627166,394133979.187304,crypto-com-chain
2019-11-21,0.0335410441845985,15019839.22402432,395085782.7730839,crypto-com-chain
2019-11-22,0.0320675436007035,5229607.768707865,378574750.70118296,crypto-com-chain
2019-11-23,0.0300866886325703,5415629.467143141,355434900.0259348,crypto-com-chain
2019-11-24,0.0304865080152283,2058481.3161152983,360602126.5803493,crypto-com-chain
2019-11-25,0.0298423632285644,2337676.514659171,353366483.1876513,crypto-com-chain
2019-11-26,0.0274935562034055,3613895.253588585,330094405.0132796,crypto-com-chain
2019-11-27,0.0273786080537974,3830726.76271501,327475840.6796941,crypto-com-chain
2019-11-28,0.0282147316671985,4724924.523162258,337369989.212326,crypto-com-chain
2019-11-29,0.0272396212131422,4104523.3483877145,327096179.1835851,crypto-com-chain
2019-11-30,0.028214061752185,3797064.247174021,338500591.6170696,crypto-com-chain
2019-12-01,0.027299195617727,4742057.253407105,326611177.2502489,crypto-com-chain
2019-12-02,0.0264944559054307,5370862.343652724,319074986.5785845,crypto-com-chain
2019-12-03,0.0258617160414691,3658643.148819117,312549304.2418763,crypto-com-chain
2019-12-04,0.0259285789221245,4576464.872216997,313227791.30652475,crypto-com-chain
2019-12-05,0.0262706723254577,1434948.9032304024,318382675.3105326,crypto-com-chain
2019-12-06,0.0293509527467899,5759471.552108509,357838161.55973715,crypto-com-chain
2019-12-07,0.0295835261510131,5800320.824428382,359233992.9031881,crypto-com-chain
2019-12-08,0.0295273498965704,6315168.717467529,360246281.3764545,crypto-com-chain
2019-12-09,0.0295511751194517,5880576.451605376,359309716.9084371,crypto-com-chain
2019-12-10,0.029403047624695,4713996.675923857,358540970.6778217,crypto-com-chain
2019-12-11,0.0288912051778205,3296046.960816168,354502075.67476153,crypto-com-chain
2019-12-12,0.0289200315343221,4625337.059712839,354187090.2280435,crypto-com-chain
2019-12-13,0.0293266876795341,2686485.6719044866,358335176.1164577,crypto-com-chain
2019-12-14,0.0295234604285507,2633422.99888072,363338375.3369756,crypto-com-chain
2019-12-15,0.02969258152748,8908331.678937854,366312660.9599943,crypto-com-chain
2019-12-16,0.0304347137016924,9784864.281642132,375883197.1092802,crypto-com-chain
2019-12-17,0.0307357090832367,8137420.698818495,380946171.42235583,crypto-com-chain
2019-12-18,0.0306973995311029,6946284.940625145,379696960.4181168,crypto-com-chain
2019-12-19,0.0331507388307752,4389049.143427057,412321936.78009903,crypto-com-chain
2019-12-20,0.0330490295548799,5634410.785204219,410114852.2817488,crypto-com-chain
2019-12-21,0.0352414805983578,14367943.893426098,446897739.3282134,crypto-com-chain
2019-12-22,0.0338649973473932,9078684.771386923,421953936.0737007,crypto-com-chain
2019-12-23,0.0355405526591297,7673103.823939737,441079485.4883883,crypto-com-chain
2019-12-24,0.0349054706689835,7294356.685574049,435820039.5514016,crypto-com-chain
2019-12-25,0.0346999603788862,7081274.327545492,430394168.3440181,crypto-com-chain
2019-12-26,0.0345575028554922,6102321.426062659,432487843.64850974,crypto-com-chain
2019-12-27,0.0351356155887138,6698630.454068112,438283826.3188724,crypto-com-chain
2019-12-28,0.0352726510428146,8524912.832577832,441392533.3059301,crypto-com-chain
2019-12-29,0.0340487422321894,25505134.525814284,429200752.6753979,crypto-com-chain
2019-12-30,0.0346157267662153,7685707.502586688,438151478.70084,crypto-com-chain
2019-12-31,0.0336479833869401,11302631.089485006,424836963.60877246,crypto-com-chain
2020-01-01,0.0336405976948488,10684994.11551326,427234764.89010257,crypto-com-chain
2020-01-02,0.0339549534190599,10294529.036597898,430026716.37874585,crypto-com-chain
2020-01-03,0.0328911401734663,10015563.994478026,419671944.3218245,crypto-com-chain
2020-01-04,0.034393843065755,14509882.169446789,439059086.3960629,crypto-com-chain
2020-01-05,0.0343884339146084,11031395.855015494,440372776.3454015,crypto-com-chain
2020-01-06,0.0344068726282791,9026436.847186578,440302435.2981341,crypto-com-chain
2020-01-07,0.0364675819849873,10232189.040093085,468176834.5029762,crypto-com-chain
2020-01-08,0.0380874004042917,6590441.42134594,489692000.658668,crypto-com-chain
2020-01-09,0.0399068484865085,7290195.532155842,514421003.8171037,crypto-com-chain
2020-01-10,0.0383737757083903,12208233.017443882,495490152.7607563,crypto-com-chain
2020-01-11,0.04029027163188,15023212.169308446,518854791.9429301,crypto-com-chain
2020-01-12,0.0400256143316886,15803876.670829888,518583515.7252441,crypto-com-chain
2020-01-13,0.0410252870357052,15894803.72057269,531563845.3254077,crypto-com-chain
2020-01-14,0.0410231731881369,6447069.752371484,532751916.9451478,crypto-com-chain
2020-01-15,0.0436165727703113,5795445.896083087,566997548.7786905,crypto-com-chain
2020-01-16,0.0455833581908542,11710153.143777972,593361070.2588474,crypto-com-chain
2020-01-17,0.0459241420092434,15916576.138381552,599677689.2847693,crypto-com-chain
2020-01-18,0.0468979128604506,19093598.150217883,612739093.9653543,crypto-com-chain
2020-01-19,0.0471422740778458,9513587.009827748,616213693.9346846,crypto-com-chain
2020-01-20,0.0464767765374833,8442297.894994443,608036400.8582684,crypto-com-chain
2020-01-21,0.0470257424649435,16812885.80745975,615759204.3637398,crypto-com-chain
2020-01-22,0.0475113356834722,18613402.17130124,621316262.4125819,crypto-com-chain
2020-01-23,0.0479614184765819,16094480.878361912,632383176.2029964,crypto-com-chain
2020-01-24,0.0465287303132442,12501173.42857675,612525193.3685721,crypto-com-chain
2020-01-25,0.0465570631033147,19013049.180028304,614630557.4321911,crypto-com-chain
2020-01-26,0.0461486037207061,18423917.54444566,610488233.7174335,crypto-com-chain
2020-01-27,0.0474014081181031,10776284.805859577,628075891.1487168,crypto-com-chain
2020-01-28,0.0488809865155506,10424356.482859308,649381215.6128949,crypto-com-chain
2020-01-29,0.0521903658246258,10123886.398272868,693797981.3578101,crypto-com-chain
2020-01-30,0.0518606745978127,6213466.591721886,691936947.4289072,crypto-com-chain
2020-01-31,0.0528345888391863,5031806.596441018,700653782.6950101,crypto-com-chain
2020-02-01,0.053185704085765,3353783.338095797,715372585.690822,crypto-com-chain
2020-02-02,0.0526185802625529,3154370.513768188,707690310.3702261,crypto-com-chain
2020-02-03,0.0540449132282711,14209179.473142058,726197904.619983,crypto-com-chain
2020-02-04,0.0535479360531143,10640502.27588085,720538209.5966835,crypto-com-chain
2020-02-05,0.055750754668543,11804563.815120252,749521466.4948049,crypto-com-chain
2020-02-06,0.057767494255801,14041738.08784618,781476367.1018423,crypto-com-chain
2020-02-07,0.0587525240965442,9673247.606226629,794921340.7221605,crypto-com-chain
2020-02-08,0.0585918297510072,17872891.106624212,793292991.5498234,crypto-com-chain
2020-02-09,0.0589360775692737,8131992.775334316,798749035.0579351,crypto-com-chain
2020-02-10,0.0613185531352082,14818910.384737406,831924673.8482201,crypto-com-chain
2020-02-11,0.0605268135939639,17459012.67251617,824860654.6233393,crypto-com-chain
2020-02-12,0.0620167239022885,17360177.194860358,846991351.136948,crypto-com-chain
2020-02-13,0.0639618038560409,13671257.797162946,863874833.9903228,crypto-com-chain
2020-02-14,0.0660341638158958,9925974.873875126,903211939.617155,crypto-com-chain
2020-02-15,0.0667008633077782,26087440.969857927,910228831.2800692,crypto-com-chain
2020-02-16,0.0622472616215182,22843080.66261391,855872443.6300497,crypto-com-chain
2020-02-17,0.0621819859691166,18927780.409164093,855344545.6741548,crypto-com-chain
2020-02-18,0.0582671611618591,23783193.961064227,796155250.429719,crypto-com-chain
2020-02-19,0.0617782873958036,22031446.90806808,848309446.3632122,crypto-com-chain
2020-02-20,0.0596460267380418,20803803.476832543,822069323.4654298,crypto-com-chain
2020-02-21,0.0576612649907215,17137838.01053668,797343061.0169044,crypto-com-chain
2020-02-22,0.0584760278894371,26064116.878233258,807466362.2902054,crypto-com-chain
2020-02-23,0.0593279610102577,38616106.73387844,816868128.0687292,crypto-com-chain
2020-02-24,0.0619913202961127,31513318.10572752,853591118.5543693,crypto-com-chain
2020-02-25,0.0601856987353276,19438617.82339898,830721721.3524394,crypto-com-chain
2020-02-26,0.0593440708106789,17433844.098568063,818604194.1004705,crypto-com-chain
2020-02-27,0.0530137409631835,17345550.05044542,734650559.8916134,crypto-com-chain
2020-02-28,0.053606142902951,6012114.732973416,739653066.9973767,crypto-com-chain
2020-02-29,0.0536333906599539,13165641.13448478,740058958.4251463,crypto-com-chain
2020-03-01,0.0522224520410189,16383628.51071683,718648332.487228,crypto-com-chain
2020-03-02,0.0529376529927715,16137951.085272698,729283927.8167689,crypto-com-chain
2020-03-03,0.0555079768153842,17559522.587130904,764330086.7095298,crypto-com-chain
2020-03-04,0.0565493496006612,9160633.252952293,783844433.7341468,crypto-com-chain
2020-03-05,0.0565150934976339,7621082.209568948,779456190.699824,crypto-com-chain
2020-03-06,0.057530989867197,17381088.767435655,811848944.3872104,crypto-com-chain
2020-03-07,0.0573895275672047,8516958.20387524,812380486.4818518,crypto-com-chain
2020-03-08,0.0564708639485867,3769437.351982029,799138399.1036414,crypto-com-chain
2020-03-09,0.0509880660451192,3757321.4567949297,719919739.7809899,crypto-com-chain
2020-03-10,0.0492825160486326,4676117.096307648,699670972.7051368,crypto-com-chain
2020-03-11,0.0492407505489092,6056484.065044679,703843256.3266412,crypto-com-chain
2020-03-12,0.0491718020426503,9271723.738870446,697775204.0469459,crypto-com-chain
2020-03-13,0.0295190546152402,8190919.509641968,410066042.99283934,crypto-com-chain
2020-03-14,0.0340755630888116,11478072.80988678,483349964.8705213,crypto-com-chain
2020-03-15,0.031905946723124,15485894.19526272,453772402.3438678,crypto-com-chain
2020-03-16,0.0323993938490145,15642321.020393966,467850941.5417869,crypto-com-chain
2020-03-17,0.0316052460367352,15722699.519263389,450178181.7100431,crypto-com-chain
2020-03-18,0.034620887308835,10980330.335954726,499593556.1416264,crypto-com-chain
2020-03-19,0.0356192248588188,16507991.362992026,506075641.15197694,crypto-com-chain
2020-03-20,0.0396269992920872,18689377.137569115,565001510.49951,crypto-com-chain
2020-03-21,0.0386536482387787,15417310.709874976,547003743.4004831,crypto-com-chain
2020-03-22,0.0379239126826186,16252185.401891204,539697106.2404071,crypto-com-chain
2020-03-23,0.0359108565242937,14640003.385981254,511656073.899869,crypto-com-chain
2020-03-24,0.0406636086679771,11545202.48588704,575891461.1244849,crypto-com-chain
2020-03-25,0.0438504281794879,11871060.66512396,623439601.7483019,crypto-com-chain
2020-03-26,0.0435616282524412,8690291.743532784,619233816.5378685,crypto-com-chain
2020-03-27,0.045649749297669,8897002.435833575,649288074.0740472,crypto-com-chain
2020-03-28,0.0448513762049421,19573489.98429725,638284890.444199,crypto-com-chain
2020-03-29,0.0426087994822751,19764687.614439227,607116443.0429968,crypto-com-chain
2020-03-30,0.0414519857782095,17644319.289750572,589598592.645882,crypto-com-chain
2020-03-31,0.0472879613038298,15007793.59903392,673601479.5423597,crypto-com-chain
2020-04-01,0.0487499115754959,7760720.822911725,693849139.8672745,crypto-com-chain
2020-04-02,0.0491407210177542,4179686.6558683575,695778198.6375768,crypto-com-chain
2020-04-03,0.0477014599848651,4072433.082212845,676376198.82112,crypto-com-chain
2020-04-04,0.0475907874732114,13572481.752405822,676617957.3745108,crypto-com-chain
2020-04-05,0.0480174648486321,6501471.236050644,682851307.0064775,crypto-com-chain
2020-04-06,0.0486119471026827,4798735.580807205,691191070.2035215,crypto-com-chain
2020-04-07,0.0525530558263951,6121989.355345072,745539335.0395224,crypto-com-chain
2020-04-08,0.0519568997373788,7928019.588116114,738157548.9912273,crypto-com-chain
2020-04-09,0.0538747154725429,6689870.854540104,765928013.3327502,crypto-com-chain
2020-04-10,0.0531711348175394,7524231.177383107,757166113.5293558,crypto-com-chain
2020-04-11,0.0495626541737297,6586184.679678781,704075888.526181,crypto-com-chain
2020-04-12,0.0500240406818922,6679442.46412523,712703263.8113205,crypto-com-chain
2020-04-13,0.0500617563952498,6662410.609087706,717469000.7533438,crypto-com-chain
2020-04-14,0.049767158023415,5896745.775604356,708725076.1342885,crypto-com-chain
2020-04-15,0.0500929496119581,5457073.170049207,712480049.2810273,crypto-com-chain
2020-04-16,0.0481735632622661,5023388.47270423,686741441.0425711,crypto-com-chain
2020-04-17,0.0504604668691977,6062427.655356409,717644313.0045848,crypto-com-chain
